                                    Musical Engineer's Handbook
                                         by Bernie Hutchins
                                         Table of Contents
---------------------------------------------------------------------------------------------------
Page #1    Cover Page
Page #4    Dedication/Acknowledgment
Page #5    Table of Contents
Page #6    Introduction
Page #9    Section 1, Basics
Page #9    --- Chapter 1A: Electronic Music Systems and Their Characterization
Page #9    --- --- Introduction
Page #10   --- --- Example Electronic Music Systems
Page #10   --- --- --- Musique Concrète
Page #10   --- --- --- Voltage-Controlled Systems
Page #11   --- --- --- Computer Point-by-Point Synthesis
Page #12   --- --- --- Computer Control of Analog Synthesizers
Page #12   --- --- --- A Tape Delay Feedback System
Page #13   --- --- The Characterization of the Elements of Electronic Music Systems
Page #15   --- Chapter 1B: Waveforms, Envelopes, Modules, and Control
Page #15   --- --- Introduction
Page #16   --- --- Waveforms
Page #18   --- --- Envelopes
Page #19   --- --- Modules
Page #21   --- --- Control
Page #23   --- Chapter 1C: Basic Mathematics of Musical Engineering
Page #23   --- --- Introduction
Page #24   --- --- Graphs, Linear and Non-Linear Relationships
Page #27   --- --- Multiplication in Graph Quadrants
Page #28   --- --- Scaling of Exponentials and Placement of Exponential Converters
Page #29   --- --- Logarithmic Relationships
Page #31   --- Chapter 1D: Integral Methods of Electrical Engineering
Page #31   --- --- Introduction
Page #32   --- --- Eyeballing The Fourier Series
Page #33   --- --- Mathematics of the Fourier Series
Page #34   --- --- Analysis of Non-Periodic Waveforms - Fourier Transforms
Page #37   --- --- Laplace Analysis
Page #40   --- --- Convolution: Time and Frequency
Page #40   --- --- Autocorrelation - A Convolution
Page #41   --- --- Impulse Response
Page #43   --- Chapter 1E: Topics from Musical Acoustics
Page #43   --- --- Introduction
Page #44   --- --- The Accuracy of Traditional Music
Page #45   --- --- Musical Scales
Page #48   --- --- Block Analysis of Traditional Music
Page #50   --- --- Hearing
Page #51   --- Chapter 1F: Basic Principles of Musical Engineering
Page #51   --- --- Introduction
Page #52   --- --- Basic Goals and Procedures
Page #53   --- --- System Design Philosophy
Page #55   --- --- Communications Between Musicians and Engineers
Page #57   Section 2, Basic Sound Synthesis And Electronic Music Techniques
Page #57   --- Chapter 2A: Subtractive Synthesis
Page #57   --- --- Introduction
Page #58   --- --- Harmonic Content of Waveforms
Page #59   --- --- Amplitude and Harmonic Content Alteration
Page #60   --- --- A Basic Subtractive Synthesis Patch
Page #61   --- --- Subtractive Synthesis Using a Noise Source
Page #61   --- --- Filter Ringing
Page #63   --- Chapter 2B: Additive Synthesis
Page #63   --- --- Introduction
Page #63   --- --- Comparison of Additive and Subtractive Synthesis
Page #64   --- --- The Role of Phase in Additive Synthesis
Page #65   --- --- Addition of Non-Harmonics
Page #66   --- --- Construction of Source Banks
Page #67   --- Chapter 2C: Generalized Modulations
Page #67   --- --- Introduction
Page #69   --- --- Addition of Waveforms
Page #72   --- --- Multiplication of Waveforms
Page #74   --- --- Amplitude Modulation
Page #75   --- --- Frequency Modulation
Page #86   --- --- Formant Modulation
Page #86   --- --- Pulse Modulation
Page #88   --- --- Time Sampling
Page #93   --- Chapter 2D: Control of Musical Structure
Page #93   --- --- Introduction
Page #94   --- --- Control: Electronic, Physical, and Programmable
Page #96   --- --- Control by Tape Recorder
Page #97   --- --- Control in Real Time
Page #98   --- --- Release of Control
Page #99   --- Chapter 2E: Miscellaneous Electronic Music Techniques
Page #99   --- --- Introduction
Page #99   --- --- Tape Manipulations
Page #100  --- --- Tape Techniques Using Delay
Page #101  --- --- Phasing Techniques
Page #102  --- --- Reverberation Units
Page #102  --- --- Ensemble Effects
Page #102  --- --- Resonant Synthesis
Page #104  --- --- Phase Locking
Page #105  Section 3, Electrical Components And Electronic Music Applications
Page #105  --- Chapter 3A: Basic Applications of: Operational Amplifiers
Page #105  --- --- Introduction
Page #106  --- --- First Ideal Characteristic - Infinite Gain
Page #107  --- --- Second Ideal Characteristic - No Input Bias Currents
Page #108  --- --- Third Ideal Characteristic - No Differential Input Voltage When Negative
                   Feedback Is Working
Page #110  --- --- --- The Non-Inverting Amplifier
Page #111  --- --- --- The Inverting Amplifier And Related Structures
Page #114  --- --- --- An Alternative Analysis Of The Inverting Amplifier
Page #116  --- --- --- The Op-Amp Differential Amplifier
Page #116  --- --- --- The Generalized Analog Summer
Page #118  --- --- Working With Real Op-Amps
Page #119  --- --- Compensation and Slew Rate
Page #122  --- --- Input Bias Current
Page #123  --- Chapter 3B: Basic Applications of: Operational Transconductance Amplifiers
Page #123  --- --- Introduction
Page #124  --- --- Basic Setup of the CA3080
Page #124  --- --- Typical Gain Controlled Circuit
Page #125  --- --- Signal Switching Methods
Page #126  --- --- Current Switching Methods
Page #127  --- Chapter 3C: Basic Applications of: Current Differencing Amplifiers
Page #127  --- --- Introduction
Page #128  --- --- Open Loop And Logic Circuits
Page #128  --- --- Positive Feedback
Page #129  --- --- Negative Feedback
Page #131  --- Chapter 3D: Basic Applications of: Analog Multipliers
Page #131  --- --- Introduction
Page #132  --- --- Basic 595 Circuits
Page #132  --- --- Application Hints for Type 595
Page #133  --- --- Two-Quadrant Multipliers
Page #135  --- Chapter 3E: Basic Applications of: IC Timers
Page #135  --- --- Introduction
Page #135  --- --- Monostable (One Shot) Circuits
